,datetime,season,year,month,hour,holiday,weekday,workingday,user_casual,user_registered,count_total,temperature,temp_group,moving_avg
0,2011-01-01,1,0,1,0,0,6,0,3,13,16,9.84,0.82-13.94,
1,2011-01-01,1,0,1,1,0,6,0,8,32,40,9.02,0.82-13.94,
2,2011-01-01,1,0,1,2,0,6,0,5,27,32,9.02,0.82-13.94,29.333333333333332
3,2011-01-01,1,0,1,3,0,6,0,3,10,13,9.84,0.82-13.94,28.333333333333332
4,2011-01-01,1,0,1,4,0,6,0,0,1,1,9.84,0.82-13.94,15.333333333333334
5,2011-01-01,1,0,1,5,0,6,0,0,1,1,9.84,0.82-13.94,5.0
6,2011-01-01,1,0,1,6,0,6,0,2,0,2,9.02,0.82-13.94,1.3333333333333333
7,2011-01-01,1,0,1,7,0,6,0,1,2,3,8.200000000000001,0.82-13.94,2.0
8,2011-01-01,1,0,1,8,0,6,0,1,7,8,9.84,0.82-13.94,4.333333333333333
9,2011-01-01,1,0,1,9,0,6,0,8,6,14,13.120000000000001,0.82-13.94,8.333333333333334
10,2011-01-01,1,0,1,10,0,6,0,12,24,36,15.58,13.94-20.50,19.333333333333332
11,2011-01-01,1,0,1,11,0,6,0,26,30,56,14.76,13.94-20.50,35.333333333333336
12,2011-01-01,1,0,1,12,0,6,0,29,55,84,17.22,13.94-20.50,58.666666666666664
13,2011-01-01,1,0,1,13,0,6,0,47,47,94,18.86,13.94-20.50,78.0
14,2011-01-01,1,0,1,14,0,6,0,35,71,106,18.86,13.94-20.50,94.66666666666667
15,2011-01-01,1,0,1,15,0,6,0,40,70,110,18.04,13.94-20.50,103.33333333333333
16,2011-01-01,1,0,1,16,0,6,0,41,52,93,17.22,13.94-20.50,103.0
17,2011-01-01,1,0,1,17,0,6,0,15,52,67,18.04,13.94-20.50,90.0
18,2011-01-01,1,0,1,18,0,6,0,9,26,35,17.22,13.94-20.50,65.0
19,2011-01-01,1,0,1,19,0,6,0,6,31,37,17.22,13.94-20.50,46.333333333333336
20,2011-01-01,1,0,1,20,0,6,0,11,25,36,16.400000000000002,13.94-20.50,36.0
21,2011-01-01,1,0,1,21,0,6,0,3,31,34,16.400000000000002,13.94-20.50,35.666666666666664
22,2011-01-01,1,0,1,22,0,6,0,11,17,28,16.400000000000002,13.94-20.50,32.666666666666664
23,2011-01-01,1,0,1,23,0,6,0,15,24,39,18.86,13.94-20.50,33.666666666666664
24,2011-01-02,1,0,1,0,0,0,0,4,13,17,18.86,13.94-20.50,28.0
25,2011-01-02,1,0,1,1,0,0,0,1,16,17,18.04,13.94-20.50,24.333333333333332
